Comment,Designator,Footprint,LCSC
"10u","C1,C3,C4","Capacitor_SMD:CP_Elec_4x4.5",""
"100u","C2","Capacitor_SMD:CP_Elec_5x5.3",""
"100n","C5,C6,C7,C10,C11,C12,C13","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"12p","C8,C9","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"LED","D2","LED_SMD:LED_0805_2012Metric",""
"BC56-12EWA","DS1","SamacSys_Parts:DIPS1524W50P254L3760H835Q12N",""
"Ferrite_Bead","FB1","Resistor_SMD:R_0805_2012Metric",""
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_3.2mm_M3_DIN965",""
"USB_B_Mini","J1","Connector_USB:USB_Mini-B_Wuerth_65100516121_Horizontal",""
"Conn_ARM_JTAG_SWD_10","J2","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical",""
"Conn_01x07","J3","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical",""
"BC817","Q1,Q2,Q3","Package_TO_SOT_SMD:SOT-23",""
"100","R1,R2,R3,R4,R5,R6,R7,R8,R11","Resistor_SMD:R_0805_2012Metric",""
"33","R12,R13,R14,R26,R27","Resistor_SMD:R_0805_2012Metric",""
"33k","R15","Resistor_SMD:R_0805_2012Metric",""
"10k","R16,R17,R18,R19,R20,R21","Resistor_SMD:R_0805_2012Metric",""
"470","R22","Resistor_SMD:R_0805_2012Metric",""
"100k","R23","Resistor_SMD:R_0805_2012Metric",""
"4.7k","R24,R25","Resistor_SMD:R_0805_2012Metric",""
"NC","R28","Resistor_SMD:R_0805_2012Metric",""
"0R","R29,R30","Resistor_SMD:R_0805_2012Metric",""
"15","R9,R10","Resistor_SMD:R_0805_2012Metric",""
"SW_Push","SW1","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm",""
"AMS1117-3.3","U1","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"STM32L151RETx","U2","Package_QFP:LQFP-64_10x10mm_P0.5mm",""
"USBLC6-2SC6","U3","Package_TO_SOT_SMD:SOT-23-6",""
"Crystal_GND24","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm",""
